MM_Var,MM_loss,NSW,Total_Var,Loss0,Var0,Best0,Loss1,Var1,Best1,Loss2,Var2,Best2,Loss3,Var3,Best3,Loss4,Var4,Best4,d
3.3763207456647844,-8.332646466470813,3.8820291770446063,19.513843651952698,-8.332646466470813,3.54238091633226,11.875027382803072,-0.496858486877521,4.241023280305592,4.737881767183113,-0.7753574109657886,3.3763207456647844,4.151678156630573,-2.706907648542108,3.9192987659052516,6.62620641444736,-0.004664409285773274,4.434819943744808,4.439484353030581,1
6.1355498600742475,-9.384949607874743,6.553371619831478,32.80690248315335,-9.384949607874743,6.8457521742815235,16.230701782156267,-1.991285625100879,6.569905653814914,8.561191278915793,-1.013673206161556,6.271841807602664,7.28551501376422,-5.5488368971338335,6.1355498600742475,11.684386757208081,-0.011807400589097128,6.983852987380002,6.9956603879690995,2
8.98140136880389,-9.961808984255029,9.230433355813268,46.17047341945509,-9.961808984255029,9.718806822900781,19.68061580715581,-2.711480354557576,8.98140136880389,11.692881723361467,-1.2351218056804498,9.04730409786093,10.28242590354138,-7.502064471817773,9.142058268023378,16.64412273984115,-0.018745094462520484,9.280902861866114,9.299647956328634,3
11.095589295230742,-11.428431229409835,11.222532410482495,56.11531737890483,-11.428431229409835,11.398289400630016,22.82672063003985,-3.4227023347104986,11.095589295230742,14.51829162994124,-1.9663878543661575,11.127333187637344,13.093721042003502,-10.024382041353924,11.21179855974427,21.236180601098194,-0.02435312644432841,11.282306935662454,11.306660062106783,4
12.795740630554484,-12.457622045162326,13.044277937450305,65.23402132065748,-12.19878258425422,13.496257227375763,25.695039811629982,-4.340695885756972,12.795740630554484,17.136436516311456,-2.9904971393635194,12.804336750252027,15.794833889615546,-12.457622045162326,13.131392682697877,25.589014727860203,-0.030952040854634433,13.006294029777319,13.037246070631953,5
14.220719079171383,-15.287131867911638,14.539309957456895,72.72104462771232,-12.954334127453038,15.284336384208473,28.23867051166151,-5.420389087344033,14.220719079171383,19.641108166515416,-3.851550553016313,14.32777432170392,18.179324874720233,-15.287131867911638,14.377194841711367,29.664326709623005,-0.05664013654692468,14.511020000917181,14.567660137464106,6
15.798249674068433,-17.54617240056133,16.038240714351037,80.2048864046695,-13.918236129716064,16.62060913234802,30.538845262064083,-6.078726966149549,15.996949609413353,22.075676575562902,-4.400541046654791,15.838901692370833,20.239442739025623,-17.54617240056133,15.798249674068433,33.34442207462976,-0.09159238309502094,15.950176296468856,16.041768679563877,7
16.764343925699638,-19.738757506509938,17.24509185967871,86.249315586997,-14.859623881281571,17.92319150900687,32.78281539028844,-7.232558894906539,17.248374446746745,24.480933341653284,-5.515390717924102,16.764343925699638,22.27973464362374,-19.738757506509938,16.909491434751775,36.64824894126171,-0.04923189786299176,17.40391427079198,17.45314616865497,8
18.379953596300847,-21.094933894001272,18.708519774757647,93.56600650307674,-15.416465969667971,19.52190423001647,34.93837019968444,-8.36828638018904,18.38093108133807,26.74921746152711,-5.77283160929105,18.379953596300847,24.152785205591897,-21.094933894001272,18.586915986967973,39.681849880969246,-0.06358093277123089,18.696301608453368,18.7598825412246,9
19.544105432904043,-21.90060080571347,20.0811891406343,100.41941066183189,-16.42594914168788,20.54208684692358,36.96803598861146,-8.588860801651691,20.22956913240027,28.818429934051963,-6.437046631034548,19.544105432904043,25.98115206393859,-21.90060080571347,20.135994583509987,42.03659538922346,-0.07470649156996245,19.967654666094006,20.04236115766397,10
20.831222546269323,-22.999761635278883,21.367557573259138,106.85534226286572,-16.898703638025715,21.99667370945189,38.895377347477606,-9.177323699421166,21.55236237494148,30.729686074362647,-6.917715934732858,20.831222546269323,27.74893848100218,-22.999761635278883,21.26511044714398,44.26487208242286,-0.08510172241071245,21.20997318505904,21.295074907469754,11
22.13879493806717,-24.065421882550453,22.723245724717223,113.6743432980123,-16.44554916938398,24.16548366860812,40.6110328379921,-9.787051267432169,22.685548910248997,32.472600177681166,-7.333136695978247,22.13879493806717,29.47193163404542,-24.065421882550453,22.307383388758957,46.37280527130941,-0.10268751064359094,22.377132392329052,22.479819902972643,12
23.492465125396272,-24.873813219219258,24.002443325138795,120.09224095821018,-16.48002024353158,25.790517373526928,42.27053761705851,-10.37842283814497,23.777217432258738,34.15564027040371,-7.652140692665657,23.492465125396272,31.14460581806193,-24.873813219219258,23.506532867432078,48.380346086651336,-0.12002740069225126,23.525508159596185,23.645535560288437,13
24.415998503146522,-25.866948771212254,25.183563228254755,126.02229616472722,-16.62563761586648,27.243705432906083,43.86934304877256,-10.657268922838682,25.106377656017116,35.7636465788558,-8.203171980710128,24.59257959691998,32.79575157763011,-25.866948771212254,24.415998503146522,50.282947274358776,-0.12636604426245768,24.66363497573752,24.790001019999977,14
25.773553432431687,-26.030665922740965,26.484508083006926,132.52724045352895,-16.81272864842169,28.628223303180683,45.44095195160237,-11.058171705718596,26.245508106263966,37.30367981198256,-8.501336657223312,25.868186330057213,34.369522987280526,-26.030665922740965,26.011769281595384,52.04243520433635,-0.14969982825917683,25.773553432431687,25.923253260690863,15
26.79736423776788,-26.645925670573455,27.67969506127468,138.5119010035003,-17.156971622099732,29.797533253690332,46.954504875790064,-10.747727962666708,28.02211569365147,38.76984365631818,-9.079234673238837,26.79736423776788,35.87659891100672,-26.645925670573455,27.00470390638599,53.650629576959446,-0.15527463702041544,26.890183912004627,27.045458549025042,16
27.968730542821113,-26.617491782173865,28.962218878651715,144.9246044289645,-17.245321707392804,31.158499004222477,48.40382071161528,-11.047801628340402,29.15982579920057,40.20762742754097,-9.273023385295776,28.108420807361046,37.38144419265682,-26.617491782173865,28.529128275359305,55.14662005753317,-0.19225293966511003,27.968730542821113,28.160983482486223,17
29.054009985023455,-26.651637371930953,30.13977761863335,150.80800283244838,-17.54340698165565,32.244375862676904,49.787782844332554,-11.083732458899881,30.46216259138958,41.54589505028946,-9.665220035255373,29.168326429392224,38.8335464646476,-26.651637371930953,29.879127963966212,56.530765335897165,-0.20316362253665687,29.054009985023455,29.257173607560112,18
30.11388475721496,-26.87991410408952,31.259505880485275,156.40600373370773,-17.695007274283377,33.40076369880739,51.095770973090765,-11.27582170067932,31.58294466229192,42.85876636297124,-9.914825415150744,30.340864024164148,40.25568943931489,-26.87991410408952,30.96754659122931,57.84746069531883,-0.22116759322393165,30.11388475721496,30.335052350438893,19
31.17287125270086,-26.49146472388967,32.48086313515783,162.51740109723733,-17.678243745462908,34.608699727737516,52.286943473200424,-11.377439069891771,32.72277144961706,44.100210519508835,-10.209824192352151,31.40873232473811,41.61855651709026,-26.49146472388967,32.604326342443784,59.095791066333454,-0.22904576872578275,31.17287125270086,31.40191702142664,20
